Patronyme,patronyme_prepare,domaine d'activité,image,langue maternelle,lieu de mort,lieu de naissance,occupation,pays de nationalité,sexe ou genre,date de naissance,date de mort
HIPPOLYTE MAINDRON,Hippolyte Maindron,,Hippolyte Maindron.png,,6e arrondissement de Paris,Champtoceaux,sculpteur ou sculptrice,France,masculin,1801-12-16T00:00:00Z,1884-03-21T00:00:00Z
SILBERMANN,SILBERMANN,,,,,,,,,,
ST GILDAS,ST GILDAS,,,,,,,,,,
FORTUNE LE CUNFF,FORTUNE LE CUNFF,,,,,,,,,,
PRAT-FOEN,PRATFOEN,,,,,,,,,,
PRES,PRES,,,,,,,,,,
SAINT SAMSON,SAINT SAMSON,,,,,,,,,,
LE TALHOUET,LE TALHOUET,,,,,,,,,,
ST GILLES,ST GILLES,,,,,,,,,,
ST JUGON,ST JUGON,,,,,,,,,,
ST JOSEPH-ST HENRI,ST JOSEPHST HENRI,,,,,,,,,,
N D AUXILIATRICE,N D AUXILIATRICE,,,,,,,,,,
LES SOURCES D'O,LES SOURCES D'O,,,,,,,,,,
JOSEPH LE METAYER,JOSEPH LE METAYER,,,,,,,,,,
LES CASTORS,LES CASTORS,,,,,,,,,,
LE VOTTEN,LE VOTTEN,,,,,,,,,,
HAY,HAY,,,,,,,,,,
LE PIGEON VERT,LE PIGEON VERT,,,,,,,,,,
FELIX BELLAMY,FELIX BELLAMY,,,,,,,,,,
LES MESANGES BLEUES,LES MESANGES BLEUES,,,,,,,,,,
STS ANGES,STS ANGES,,,,,,,,,,
STE BARBE,STE BARBE,,,,,,,,,,
LES 4 SAISONS,LES 4 SAISONS,,,,,,,,,,
ARIANE  ICARE,ARIANE  ICARE,,,,,,,,,,
N D DU SACRE COEUR,N D DU SACRE COEUR,,,,,,,,,,
ERCKMANN CHATRIAN,ERCKMANN CHATRIAN,,,,,,,,,,
SAINT-THOMAS,SAINTTHOMAS,,,,,,,,,,
LOMENER KERROCH,LOMENER KERROCH,,,,,,,,,,
RODOLPHE REUSS 1,RODOLPHE REUSS 1,,,,,,,,,,
NEUFELD,NEUFELD,,,,,,,,,,
GLIESBERG,GLIESBERG,,,,,,,,,,
KER ANNA,KER ANNA,,,,,,,,,,
BRIGITTE,BRIGITTE,,,,,,,,,,
ST GENTIEN,ST GENTIEN,,,,,,,,,,
ST MELIAU,ST MELIAU,,,,,,,,,,
RODOLPHE REUSS,Rodolphe Reuss,,Rodolphe Reuss 1880.jpg,,Versailles,Strasbourg,bibliothécaire,France,masculin,1841-10-13T00:00:00Z,1924-08-16T00:00:00Z
GENERAL QUINIVET,GENERAL QUINIVET,,,,,,,,,,
BETH HANNAH,BETH HANNAH,,,,,,,,,,
MEINAU,MEINAU,,,,,,,,,,
KERDUAL,KERDUAL,,,,,,,,,,
CHARLES WURTZ,Charles Adolphe Wurtz,chimie,Charles-Adolphe Wurtz.jpg,,Paris,Strasbourg,chimiste,France,masculin,1817-11-26T00:00:00Z,1884-05-12T00:00:00Z
CANARDIERE,CANARDIERE,,,,,,,,,,
GUSTAVE SINE,GUSTAVE SINE,,,,,,,,,,
LE PETIT PONT,LE PETIT PONT,,,,,,,,,,
RENE KUDER,René Kuder,,,,Strasbourg,Villé,artiste peintre,France,masculin,1882-11-23T00:00:00Z,1962-09-23T00:00:00Z
LA FONTAINE DEUR HEOL,LA FONTAINE DEUR HEOL,,,,,,,,,,
UICCOBROCHO,UICCOBROCHO,,,,,,,,,,
DOCTEUR CALMETTE,Albert Calmette,bactériologie,Albert Calmette.jpg,,Paris,Nice,médecin,France,masculin,1863-07-12T00:00:00Z,1933-10-29T00:00:00Z
ARMORIQUE,ARMORIQUE,,,,,,,,,,
FRANCOISE D'AMBOISE,FRANCOISE D'AMBOISE,,,,,,,,,,
QUARTIER DE ROHAN,QUARTIER DE ROHAN,,,,,,,,,,
NICOLAS LEBLANC,NICOLAS LEBLANC,,,,,,,,,,
TURLY,TURLY,,,,,,,,,,
BOUILLET,BOUILLET,,,,,,,,,,
MARCEL PLAISANT,Marcel Plaisant,,"Marcel Plaisant, député.jpg",français,Paris,Bourges,personnalité politique,France,masculin,1887-03-08T00:00:00Z,1958-12-16T00:00:00Z
MERLATTES,MERLATTES,,,,,,,,,,
MAXIME DURUTHIN,MAXIME DURUTHIN,,,,,,,,,,
GROUPE SCOLAIRE CLAUDE LELOUP,Claude Leloup,,,,,,personnalité politique,France,masculin,1942-09-24T00:00:00Z,
RAYMOND BAULANDE,RAYMOND BAULANDE,,,,,,,,,,
MALLARD,MALLARD,,,,,,,,,,
LE VERNET,LE VERNET,,,,,,,,,,
PAUL PIETU,Paul Piétu,,,,,,personnalité politique,France,masculin,1951-06-09T00:00:00Z,
FORGES,FORGES,,,,,,,,,,
AUTHON DU PERCHE,AUTHON DU PERCHE,,,,,,,,,,
BEAUMONT LES AUTELS,BEAUMONT LES AUTELS,,,,,,,,,,
LA PIERRE BLANCHE,LA PIERRE BLANCHE,,,,,,,,,,
ETIENNE PRUNIER,ETIENNE PRUNIER,,,,,,,,,,
LA MIHOUE,LA MIHOUE,,,,,,,,,,
ILE DE CHEMARS,ILE DE CHEMARS,,,,,,,,,,
HAMEAU DE HERSBACH,HAMEAU DE HERSBACH,,,,,,,,,,
HAMEAU WEILER,HAMEAU WEILER,,,,,,,,,,
GROUPE SCOLAIRE LES ORCHIDEES,LES ORCHIDEES,,,,,,,,,,
CAMILLE SEGUIN,Camille Seguin,,,,,,artiste peintre,France,masculin,1867-05-25T00:00:00Z,1952-03-26T00:00:00Z
ADOLPHE HIRN,ADOLPHE HIRN,,,,,,,,,,
J. J. WALTZ,J. J. WALTZ,,,,,,,,,,
PFISTER,Donald Henry Pfister,,,,,,mycologue,États-Unis,masculin,1945-02-17T00:00:00Z,
SERPENTINE,SERPENTINE,,,,,,,,,,
LES OREADES,LES OREADES,,,,,,,,,,
PLEIN SOLEIL,PLEIN SOLEIL,,,,,,,,,,
EMILE STORCK,EMILE STORCK,,,,,,,,,,
ROLAND IGERSHEIM,ROLAND IGERSHEIM,,,,,,,,,,
QUATRE SAISONS,QUATRE SAISONS,,,,,,,,,,
J. GIONO,J. GIONO,,,,,,,,,,
ALFRED GIESS,Alfred Giess,,1929-Alfred-Giess.jpg,,Gray,Morschwiller-le-Bas,artiste peintre,France,masculin,1901-04-21T00:00:00Z,1973-09-26T00:00:00Z
DROUOT,Édouard Drouot,,,,Paris,Sommevoire,sculpteur ou sculptrice,France,masculin,1859-04-03T00:00:00Z,1945-05-22T00:00:00Z
LES TONNELIERS,LES TONNELIERS,,,,,,,,,,
CHRISTIAN ZUBER,CHRISTIAN ZUBER,,,,,,,,,,
DE LA HARDT,DE LA HARDT,,,,,,,,,,
BADISCHHOF,BADISCHHOF,,,,,,,,,,
LES TROIS FONTAINES,LES TROIS FONTAINES,,,,,,,,,,
LES RIVES DE LA DOLLER,LES RIVES DE LA DOLLER,,,,,,,,,,
INSTITUTION SAINTE MARIE,SAINTE MARIE,,,,,,,,,,
FELIX LABAN,Felix Laband,,,,,Pietermaritzburg,musicien ou musicienne,Afrique du Sud,masculin,1977-09-08T00:00:00Z,
LOUIS CHALCOL,LOUIS CHALCOL,,,,,,,,,,
GONTRAN JHIGAI,GONTRAN JHIGAI,,,,,,,,,,
ALBERT LAZARE,ALBERT LAZARE,,,,,,,,,,
FLORENT DONNAT,FLORENT DONNAT,,,,,,,,,,
RIGOBERT ANZALA,RIGOBERT ANZALA,,,,,,,,,,
SATURNIN PALMIER,SATURNIN PALMIER,,,,,,,,,,
GINETTE MARAGNES,GINETTE MARAGNES,,,,,,,,,,
LA BOUCAN,LA BOUCAN,,,,,,,,,,
LOUIS DANIEL BEAUPERTHUY,Louis Daniel Beauperthuy,,"Portrait of Louis Daniel Beauperthuy, Wellcome L0006879.jpg",,Guyana,Sainte-Rose,médecin,France,masculin,1807-08-26T00:00:00Z,1871-09-03T00:00:00Z
BOURG 1  STE-ROSE,BOURG 1  STEROSE,,,,,,,,,,
CHRISTIAN GOBERT,CHRISTIAN GOBERT,,,,,,,,,,
EMILE LARMONIE,EMILE LARMONIE,,,,,,,,,,
JEROME BEAUPERE,JEROME BEAUPERE,,,,,,,,,,
VIROY,VIROY,,,,,,,,,,
LES CHAUSSEES,LES CHAUSSEES,,,,,,,,,,
MAIL,MAIL,,,,,,,,,,
GEORGES COSSON,George Cosson,,,,,,avocat ou avocate,États-Unis,masculin,1876-01-21T00:00:00Z,1963-06-15T00:00:00Z
JEAN BEAUDOIN,JEAN BEAUDOIN,,,,,,,,,,
DES BERGERETS,DES BERGERETS,,,,,,,,,,
ADRIENNE BOLLAND,Adrienne Bolland,,Adrienne Bolland.jpg,,16e arrondissement de Paris,Arcueil,aviateur ou aviatrice,France,féminin,1895-11-25T00:00:00Z,1975-03-18T00:00:00Z
DES PRES VERTS,DES PRES VERTS,,,,,,,,,,
PIERRE MESPLES,PIERRE MESPLES,,,,,,,,,,
MAURICE JOURDAIN,MAURICE JOURDAIN,,,,,,,,,,
LES MONTOIRES,LES MONTOIRES,,,,,,,,,,
MOULIN CHOIX,MOULIN CHOIX,,,,,,,,,,
MIREILLE PRIEUR,MIREILLE PRIEUR,,,,,,,,,,
CHENERIES,CHENERIES,,,,,,,,,,
LES RAVOUILLERES,LES RAVOUILLERES,,,,,,,,,,
MARC O'NEILL,MARC O'NEILL,,,,,,,,,,
MONTCORBON,MONTCORBON,,,,,,,,,,
CARL NORAC,Carl Norac,poésie,Carlwiki.JPG,français,,Mons,écrivain ou écrivaine,Belgique,masculin,1960-06-29T00:00:00Z,
CORDIERS,CORDIERS,,,,,,,,,,
LES AYDES,LES AYDES,,,,,,,,,,
ST PAUL BOURDON BLANC,ST PAUL BOURDON BLANC,,,,,,,,,,
JARDIN DES PLANTES,JARDIN DES PLANTES,,,,,,,,,,
BENEDICTE MARECHAL,Bénédicte Maréchal,,,,,,chercheur ou chercheuse,,,,
JOLI BOIS,JOLI BOIS,,,,,,,,,,
GASTON GALLOUX,GASTON GALLOUX,,,,,,,,,,
LOUIS GUILLOUX,Louis Guilloux,,Louisguillouxportrait.jpg,français,Saint-Brieuc,Saint-Brieuc,écrivain ou écrivaine,France,masculin,1899-01-15T00:00:00Z,1980-10-14T00:00:00Z
MAXIME PERRARD,MAXIME PERRARD,,,,,,,,,,
RENE THINAT,RENE THINAT,,,,,,,,,,
ROGER SECRETAIN,Roger Secrétain,journalisme,,français,Orléans,Orléans,journaliste,France,masculin,1902-08-25T00:00:00Z,1982-12-30T00:00:00Z
ANDRE DESSAUX,ANDRE DESSAUX,,,,,,,,,,
ASSOMPTION-ST MARC-ST AIGNAN,ASSOMPTIONST MARCST AIGNAN,,,,,,,,,,
GENERAL DE GAULLE,Charles de Gaulle,politique,General Charles de Gaulle in 1945.jpg,français,Colombey-les-Deux-Églises,Lille,homme ou femme d'État,France,masculin,1890-11-22T00:00:00Z,1970-11-09T00:00:00Z
SAINT AIGNAN,SAINT AIGNAN,,,,,,,,,,
CHRISTIAN CHARBONNIER,CHRISTIAN CHARBONNIER,,,,,,,,,,
DU CLOS D'OR,DU CLOS D'OR,,,,,,,,,,
DEMAY-VIGNIER-GRANDS,DEMAYVIGNIERGRANDS,,,,,,,,,,
HERVE BAZIN,HERVE BAZIN,,,,,,,,,,
CHENE MAILLARD,CHENE MAILLARD,,,,,,,,,,
LES HUIT MOULINS,LES HUIT MOULINS,,,,,,,,,,
LOUIS-EZECHIEL POUCHET,LOUISEZECHIEL POUCHET,,,,,,,,,,
JEAN-PHILIPPE RAMEAU,JEANPHILIPPE RAMEAU,,,,,,,,,,
GROUPE SCOLAIRE VALLON-LES FAR,VALLONLES FAR,,,,,,,,,,
SOBELMAN,SOBELMAN,,,,,,,,,,
MARCEL TOUCHARD,MARCEL TOUCHARD,,,,,,,,,,
PAUL BERT - VICTOR HUGO,PAUL BERT  VICTOR HUGO,,,,,,,,,,
FERNAND GRANDIN,FERNAND GRANDIN,,,,,,,,,,
CHARLES ANGRAND,Charles Angrand,peinture,Self Portrait Charles Angrand.jpg,,Rouen,Criquetot-sur-Ouville,artiste peintre,France,masculin,1854-04-19T00:00:00Z,1926-04-01T00:00:00Z
RENE COTY I,RENE COTY I,,,,,,,,,,
ASPIRANT LEMONNIER,ASPIRANT LEMONNIER,,,,,,,,,,
RAYMOND BASILE,RAYMOND BASILE,,,,,,,,,,
NOTRE-DAME DU BON PORT,NOTREDAME DU BON PORT,,,,,,,,,,
MARIE LEBRETON,MARIE LEBRETON,,,,,,,,,,
LES VIKINGS,LES VIKINGS,,,,,,,,,,
JEHAN LE POVREMOYNE,Jehan Le Povremoyne,,,français,Le Tréport,Le Havre,journaliste,France,masculin,1903-04-14T00:00:00Z,1970-04-10T00:00:00Z
JEAN LECANUET,Jean Lecanuet,,Lecanuet 1984.jpg,français,Neuilly-sur-Seine,Rouen,personnalité politique,France,masculin,1920-03-04T00:00:00Z,1993-02-22T00:00:00Z
GEORGES CHOVET,GEORGES CHOVET,,,,,,,,,,
SAINT JACQUES,Jacques de Zébédée,,Dijon fine arts museum mg 1626.jpg,,Jérusalem,Bethsaïde,pêcheur ou pêcheuse,Rome antique,masculin,0001-01-01T00:00:00Z,0044-01-01T00:00:00Z
R.DESMAISON,R.DESMAISON,,,,,,,,,,
NOTRE-DAME DU BON CONSEIL,NOTREDAME DU BON CONSEIL,,,,,,,,,,
JOLIOT CURIE CITE BEL AIR,JOLIOT CURIE CITE BEL AIR,,,,,,,,,,
RPI 115,RPI 115,,,,,,,,,,
ECOLE ELEMENTAIRE ANNIE ET PIE,ANNIE ET PIE,,,,,,,,,,
MIXTE RPI 145,MIXTE RPI 145,,,,,,,,,,
RPC DE FRUGES,RPC DE FRUGES,,,,,,,,,,
RPI 104,RPI 104,,,,,,,,,,
SEVIGNE-BUISSON,SEVIGNEBUISSON,,,,,,,,,,
RPC DE GOUY ST ANDRE,RPC DE GOUY ST ANDRE,,,,,,,,,,
PONT DE JUILLET,PONT DE JUILLET,,,,,,,,,,
FERRY-BREL,FERRYBREL,,,,,,,,,,
RPI 48,RPI 48,,,,,,,,,,
RPI 24,RPI 24,,,,,,,,,,
ARMAND FALLIERES,Armand Fallières,droit,Armand Fallières Paris.jpg,français,Lannes,Mézin,personnalité politique,France,masculin,1841-11-06T00:00:00Z,1931-06-22T00:00:00Z
FALLIERES-KENNEDY,FALLIERESKENNEDY,,,,,,,,,,
CHAVAGNAC - LES COTEAUX PERIGO,CHAVAGNAC  LES COTEAUX PERIGO,,,,,,,,,,
RPI 59,RPI 59,,,,,,,,,,
DE MARSANEIX,DE MARSANEIX,,,,,,,,,,
LES COLOMBES,LES COLOMBES,,,,,,,,,,
LA BIMOISE RPI 29,LA BIMOISE RPI 29,,,,,,,,,,
YVES COUSTEAU,YVES COUSTEAU,,,,,,,,,,
RPI 86,RPI 86,,,,,,,,,,
MARTHE LEPAPE,MARTHE LEPAPE,,,,,,,,,,
ALFRED MAES,Alfred Maës,,,,Lens,Saint-Omer,personnalité politique,France,masculin,1875-07-15T00:00:00Z,1941-08-17T00:00:00Z
HENRI COUSIN,HENRI COUSIN,,,,,,,,,,
FREDERIC ET IRENE JOLIOT-CURIE,FREDERIC ET IRENE JOLIOTCURIE,,,,,,,,,,
LAMARTINE-MAISON POUR TOUS,LAMARTINEMAISON POUR TOUS,,,,,,,,,,
MIXTE RPI  77,MIXTE RPI  77,,,,,,,,,,
RPI 94,RPI 94,,,,,,,,,,
LES GENETS RPI 126,LES GENETS RPI 126,,,,,,,,,,
LINO VENTURA,Lino Ventura,,LinoVentura-Italie-1975.jpg,italien,Saint-Cloud,Parme,acteur ou actrice de cinéma,Italie,masculin,1919-07-14T00:00:00Z,1987-10-22T00:00:00Z
DES HAUTES-COMMUNES,DES HAUTESCOMMUNES,,,,,,,,,,
RPI 150,RPI 150,,,,,,,,,,
ANDRE FREVILLE - ARC EN CIEL R,ANDRE FREVILLE  ARC EN CIEL R,,,,,,,,,,
RPI 42,RPI 42,,,,,,,,,,
RENE CAMPHIN,René Camphin,,,,10ᵉ arrondissement de Paris,Saint-Nicolas,personnalité politique,France,masculin,1913-02-21T00:00:00Z,1954-03-06T00:00:00Z
SAINTE-BERTILLE,SAINTEBERTILLE,,,,,,,,,,
JAURES,JAURES,,,,,,,,,,
FRANCE-PASTEUR,FRANCEPASTEUR,,,,,,,,,,
RPI 75,RPI 75,,,,,,,,,,
LE CEDRE BLEU,LE CEDRE BLEU,,,,,,,,,,
EC JEANNE ARC DU CYPRESSAT,EC JEANNE ARC DU CYPRESSAT,,,,,,,,,,
MAGUICHE,MAGUICHE,,,,,,,,,,
RENE GIROL,RENE GIROL,,,,,,,,,,
AU COURS DU DROPT,AU COURS DU DROPT,,,,,,,,,,
POUGET,POUGET,,,,,,,,,,
JULES FERRY MATERNELLE,Jules Ferry,,Julesferry.jpg,français,8e arrondissement de Paris,Saint-Dié-des-Vosges,personnalité politique,France,masculin,1832-04-05T00:00:00Z,1893-03-17T00:00:00Z
LOU BARADEY,LOU BARADEY,,,,,,,,,,
ST VINCENT,ST VINCENT,,,,,,,,,,
ANTONIA GUITTARD,ANTONIA GUITTARD,,,,,,,,,,
LAFON FELINE,LAFON FELINE,,,,,,,,,,
INSTITUTION JEANNE ARC,JEANNE ARC,,,,,,,,,,
LES TAUZINS,LES TAUZINS,,,,,,,,,,
JEAN POMETAN,JEAN POMETAN,,,,,,,,,,
GEORGES POIRIER,Georges Emile Albert Poirier,,,,,Vagney,,France,masculin,1894-09-04T00:00:00Z,1975-11-11T00:00:00Z
P. ET M. CURIE,P. ET M. CURIE,,,,,,,,,,
JEAN DUBOUE,JEAN DUBOUE,,,,,,,,,,
CARRE,Michiel Carree,,,,Alkmaar,La Haye,artiste peintre,Provinces-Unies,masculin,1657-01-01T00:00:00Z,1727-10-03T00:00:00Z
J. R. GUILLOT,J.-R. Guillot,,,,,,illustrateur ou illustratrice scientifique,,féminin,,
SUZANNE DEBRAT,SUZANNE DEBRAT,,,,,,,,,,
ECOLE DU BOURG,Louis-Fabricius Dubourg,,,,Amsterdam,Amsterdam,artiste peintre,Pays-Bas,masculin,1693-07-02T00:00:00Z,1775-09-16T00:00:00Z
JEAN CASTAGNET,JEAN CASTAGNET,,,,,,,,,,
DES MILLE SOURCES,DES MILLE SOURCES,,,,,,,,,,
GEORGES LEYGUES,Georges Leygues,,Georges Leygues 01.jpg,français,Saint-Cloud,Villeneuve-sur-Lot,personnalité politique,France,masculin,1857-10-26T00:00:00Z,1933-09-02T00:00:00Z
MAGONTY,MAGONTY,,,,,,,,,,
BELLEGRAVE,BELLEGRAVE,,,,,,,,,,
RPI 93,RPI 93,,,,,,,,,,
GEORGES BARBEYRON,GEORGES BARBEYRON,,,,,,,,,,
ECOLE SAINT ANDRE,SAINT ANDRE,,,,,,,,,,
DOCTEUR CABANNES,DOCTEUR CABANNES,,,,,,,,,,
LES PETITS MOULINS,LES PETITS MOULINS,,,,,,,,,,
GEORGES BRASSENS RPI 121,GEORGES BRASSENS RPI 121,,,,,,,,,,
CONDORCET RPI 126,CONDORCET RPI 126,,,,,,,,,,
RPI 80,RPI 80,,,,,,,,,,
RPI 116,RPI 116,,,,,,,,,,
LA RESTUSIENNE,LA RESTUSIENNE,,,,,,,,,,
CALENZANA BALESTRINI BILINGUE,CALENZANA BALESTRINI BILINGUE,,,,,,,,,,
CERVIONE U PETRICCIU BIL. LCC,CERVIONE U PETRICCIU BIL. LCC,,,,,,,,,,
DU CAMP DU DRAP D'OR RPI 134,DU CAMP DU DRAP D'OR RPI 134,,,,,,,,,,
RAOUL BRIQUET,Raoul Briquet,,Raoul Briquet.jpg,,Bapaume,Douai,personnalité politique,France,masculin,1875-11-04T00:00:00Z,1917-03-25T00:00:00Z
LUCCIANA CROCETTA,LUCCIANA CROCETTA,,,,,,,,,,
RPI 79,RPI 79,,,,,,,,,,
FOLELLI,FOLELLI,,,,,,,,,,
JULES JAMBART,Jules Jambart,,,,Munich,Verquin,résistant ou résistante,France,masculin,1898-05-13T00:00:00Z,1944-11-28T00:00:00Z
PIETRALBA BILINGUE LCC,PIETRALBA BILINGUE LCC,,,,,,,,,,
PRUNELLI DI FIUMORBU,PRUNELLI DI FIUMORBU,,,,,,,,,,
PIETRANERA,PIETRANERA,,,,,,,,,,
JAURES-CURIE,JAURESCURIE,,,,,,,,,,
GUY RIOLI,GUY RIOLI,,,,,,,,,,
RPI 147,RPI 147,,,,,,,,,,
SISCO,SISCO,,,,,,,,,,
GR SCOL FERRY-HUGO,GR SCOL FERRYHUGO,,,,,,,,,,
D'ECAULT,D'ECAULT,,,,,,,,,,
RPI 105,RPI 105,,,,,,,,,,
LENGLET-VIVOT,LENGLETVIVOT,,,,,,,,,,
DE SALM,DE SALM,,,,,,,,,,
LA MAISON DU JARDINIER,LA MAISON DU JARDINIER,,,,,,,,,,
JACQUES CALLOT,JACQUES CALLOT,,,,,,,,,,
RPI 141,RPI 141,,,,,,,,,,
LONG JARDIN,LONG JARDIN,,,,,,,,,,
HENRI GRENIER,Henri Grenier,,,,,Gaspé,philosophe,Canada,masculin,1899-05-20T00:00:00Z,1980-05-05T00:00:00Z
JEAN CROUZIER,Jean Crouzier,,,français,Saint-Dié-des-Vosges,Raon-l'Étape,personnalité politique,France,masculin,1899-11-02T00:00:00Z,1970-12-26T00:00:00Z
LA FONTAINE - PREVERT,LA FONTAINE  PREVERT,,,,,,,,,,
JEANNE LHOMMET,JEANNE LHOMMET,,,,,,,,,,
JACQUES LIGNIER,JACQUES LIGNIER,,,,,,,,,,
SAINT-WULMER,SAINTWULMER,,,,,,,,,,
ECOLE DU GRAND CHENE,DU GRAND CHENE,,,,,,,,,,
FERRY-LES PTITS LOUPS DE MER,FERRYLES PTITS LOUPS DE MER,,,,,,,,,,
LES MOUETTES,LES MOUETTES,,,,,,,,,,
RPI 84,RPI 84,,,,,,,,,,
JAQUES PREVERT,Jacques Prévert,belles-lettres,Jacques Prévert en 1961 dans le film Mon frère Jacques par Pierre Prévert.jpg,français,Teloché,Neuilly-sur-Seine,poète ou poétesse,France,masculin,1900-02-04T00:00:00Z,1977-04-11T00:00:00Z
PIERRE ET SUZANNE MATHY,PIERRE ET SUZANNE MATHY,,,,,,,,,,
LA CALIQUE RPI 45,LA CALIQUE RPI 45,,,,,,,,,,
RPI 16,RPI 16,,,,,,,,,,
RPI 34,RPI 34,,,,,,,,,,
RPI 50,RPI 50,,,,,,,,,,
RPI 91,RPI 91,,,,,,,,,,
DELY-SERGENT,DELYSERGENT,,,,,,,,,,
DU CENTRE RPI 131,DU  RPI 131,,,,,,,,,,
VAUBLAS,VAUBLAS,,,,,,,,,,
AUFFERVILLE,AUFFERVILLE,,,,,,,,,,
HAUT CHANGIS,HAUT CHANGIS,,,,,,,,,,
LES GIRANDOLES,LES GIRANDOLES,,,,,,,,,,
LES ALIZES,LES ALIZES,,,,,,,,,,
BASSEVELLE,BASSEVELLE,,,,,,,,,,
BEAUCHERY-SAINT-MARTIN,BEAUCHERYSAINTMARTIN,,,,,,,,,,
BEAUTHEIL-SAINTS,BEAUTHEILSAINTS,,,,,,,,,,
LES VIARONS,LES VIARONS,,,,,,,,,,
ETIENNE DUMAS,ETIENNE DUMAS,,,,,,,,,,
MOULIN FLEURI,MOULIN FLEURI,,,,,,,,,,
ANTOINE GIROUST,Jean-Antoine-Théodore Giroust,,,,Mitry-Mory,Bussy-Saint-Georges,artiste peintre,France,masculin,1753-11-10T00:00:00Z,1817-07-09T00:00:00Z
HIPPOLYTE BOULENGER,Hippolyte Boulenger,peinture,Guillaume Vogels - Portret van Hyppolyte Boulenger.jpg,néerlandais,Bruxelles,Tournai,artiste peintre,Belgique,masculin,1837-10-08T00:00:00Z,1874-07-04T00:00:00Z
ALAIN PEYREFFITE,ALAIN PEYREFFITE,,,,,,,,,,
DE SAINT GILLES,DE SAINT GILLES,,,,,,,,,,
LES CHAILLOTS,LES CHAILLOTS,,,,,,,,,,
CHAMPEAUX,CHAMPEAUX,,,,,,,,,,
LE LUZARD,LE LUZARD,,,,,,,,,,
LES DEUX PARCS,LES DEUX PARCS,,,,,,,,,,
DES PRUNUS,DES PRUNUS,,,,,,,,,,
CORINNE ALBAULT,CORINNE ALBAULT,,,,,,,,,,
ALBERT TOUSSAINT,ALBERT TOUSSAINT,,,,,,,,,,
BOUVRET,Bouvret,,,,,,artiste,,,,
POL GASTON FEVEZ,POL GASTON FEVEZ,,,,,,,,,,
ALEXANDRE CHATRIAN,Alexandre Chatrian,,"Portrait d'Alexandre Chatrian, (1826-1890), PH8940 (cropped).jpg",,Villemomble,Grand-Soldat,écrivain ou écrivaine,France,masculin,1826-12-18T00:00:00Z,1890-09-03T00:00:00Z
BATZENTHAL,BATZENTHAL,,,,,,,,,,
LES PETITES MAINS VERTES,LES PETITES MAINS VERTES,,,,,,,,,,
MALANCOURT LA MONT.PTE ECOLE,MALANCOURT LA MONT.PTE,,,,,,,,,,
DU PETIT SENTIER,DU PETIT SENTIER,,,,,,,,,,
FERNAND CHARLIER,FERNAND CHARLIER,,,,,,,,,,
J-P. ALBERT,JP. ALBERT,,,,,,,,,,
EUGENE GENAY,EUGENE GENAY,,,,,,,,,,
LES DIABLOTINS,LES DIABLOTINS,,,,,,,,,,
LA PETITE ONDINE,LA PETITE ONDINE,,,,,,,,,,
G. POMPIDOU,G. POMPIDOU,,,,,,,,,,
LE GRAND BAN,LE GRAND BAN,,,,,,,,,,
CITE MOUZAIA,CITE MOUZAIA,,,,,,,,,,
LA HOUVE BICULTURELLE,LA HOUVE BICULTURELLE,,,,,,,,,,
DR. ALBERT SCHWEITZER,DR. ALBERT SCHWEITZER,,,,,,,,,,
G. CHARPENTIER,G. CHARPENTIER,,,,,,,,,,
L. PASTEUR,L. PASTEUR,,,,,,,,,,
INTERCONF LES REMPARTS,INTERCONF LES REMPARTS,,,,,,,,,,
LOUIS HOUPERT,Louis Houpert,,,,,,magistrat ou magistrate,France,masculin,1889-12-06T00:00:00Z,
REUMAUX INTERCOMMUNALE BICULTU,REUMAUX INTERCOMMUNALE BICULTU,,,,,,,,,,
SAINTE-BARBE,SAINTEBARBE,,,,,,,,,,
BOUSSANGE J. TERVER,BOUSSANGE J. TERVER,,,,,,,,,,
DES MARDELLES,DES MARDELLES,,,,,,,,,,
LA CLE DES CHANTS,LA CLE DES CHANTS,,,,,,,,,,
MARSPICH J. VERNE,MARSPICH J. VERNE,,,,,,,,,,
LE PRE VERT,LE PRE VERT,,,,,,,,,,
ECOLE DE QUEUIL,DE QUEUIL,,,,,,,,,,
LES BORDS DE GARONNE,LES BORDS DE GARONNE,,,,,,,,,,
VILLAGEXPO,VILLAGEXPO,,,,,,,,,,
CORBIAC,CORBIAC,,,,,,,,,,
DU MENHIR,DU MENHIR,,,,,,,,,,
CAZAUVIEILH,CAZAUVIEILH,,,,,,,,,,
HENRI LESNE,HENRI LESNE,,,,,,,,,,
A. ET G. DELAUNAY,A. ET G. DELAUNAY,,,,,,,,,,
BEQUET,BEQUET,,,,,,,,,,
CEL LE GAUCHER,Cel le Gaucher,,Cel le Gaucher.png,,Mont-de-Marsan,Mont-de-Marsan,dessinateur ou dessinatrice,France,masculin,1895-12-12T00:00:00Z,1949-07-16T00:00:00Z
GROUPE SCOL SAINT EXUPERY,GROUPE SCOL SAINT EXUPERY,,,,,,,,,,
FRANCOIS BACO,FRANCOIS BACO,,,,,,,,,,
HENRI MOREL,HENRI MOREL,,,,,,,,,,
ECOLE DES ARENES ET PUNTET,DES ARENES ET PUNTET,,,,,,,,,,
ROBERT POILVERT,ROBERT POILVERT,,,,,,,,,,
FLEMING,John Fleming,,,,,,médecin,Royaume-Uni de Grande-Bretagne et d'Irlande,masculin,1747-01-01T00:00:00Z,1829-01-01T00:00:00Z
